Location.ID,pca_0,pca_1,pca_2,pca_3
43642,16772.0025467,-16489.006972,2618.93602819,-9884.82109274
43643,16772.0025467,-16489.006972,2618.93602819,-9884.82109274
43644,-32216.3437506,3346.15667017,-19106.4872475,31532.7738421
43645,18262.1225805,-826.183193494,-237.924403428,1745.11408507
43646,1157.20532502,14983.5542746,-21591.638735,-932.572013367
43647,18920.2640939,-1832.99542026,-1208.68407078,1671.38483377
43648,23854.1058296,-5648.77259633,-2877.33470478,2881.19555959
43649,-9924.6322386,-16508.1426807,-1288.01848088,35627.9493635
43650,-9567.8290045,-16170.8122187,-1361.602797,35922.482537
43651,-9536.98427915,-16095.3949096,-1394.97020258,35981.812127
43652,23969.9698149,-5677.75080886,-2932.05746439,2979.28445324
43653,-2398.28569298,-38162.3697757,10614.4562344,-36026.1508352
43654,-1557.6177544,-37979.3645124,11860.3146558,-36593.6853834
43655,-1538.30865394,-37956.4625742,11854.4636247,-36570.9755383
43656,-1557.62366082,-37979.365998,11860.313936,-36593.6865752
43657,-1557.62366082,-37979.365998,11860.313936,-36593.6865752
45176,-1739.45131469,16436.0903105,-22586.8824494,-2780.58185759
45177,20978.1959099,754.156147687,2878.46744432,3805.25529349
45178,23159.2972193,-6344.23901744,-2598.11883024,2083.72899863
45179,1514.54716214,10072.995954,-28258.3354531,-3232.03660927
45180,20165.499244,-5068.48301777,-3531.78219712,1036.71361941
45181,5847.5038644,16853.5379511,21353.7834445,2715.33798801
45182,23723.6194802,-5607.84554177,-2917.29479721,2945.21156806
45183,-18569.9771982,-28569.0680788,-4735.6786593,22440.1984533
45184,-18665.2570363,19172.493346,-31201.1202008,-12024.326003
45185,577.920723116,15168.3358924,-21531.0651621,-1351.78606239
45186,-39385.1541264,14255.1632739,-6023.30536217,32082.3342682
45187,-43235.1702052,19986.7490068,-416.112230605,32356.1810901
45188,23756.8179046,-5455.49786887,-2658.50869035,2826.77461176
45189,4896.17979843,21812.821477,28220.7701582,4486.36401753
45190,-15326.713598,7040.47155042,21293.860424,-22305.793837
45191,1565.74442086,22350.3226553,27015.1066468,2971.81770281
45192,-27531.4270912,35127.2873627,-11329.5853195,-10224.6266435
45193,-4429.29094384,-4632.8114813,-2189.94656489,-17689.9639646
45194,-20493.8948096,1006.3496029,-24012.4633721,-27195.9587669
45195,17817.8322677,-2023.01448719,-8542.87661381,1782.81005354
45196,-31254.912027,30041.1909451,-1307.07164503,16040.8038719
45197,-31254.912027,30041.1909451,-1307.07164503,16040.8038719
45198,-37036.7611054,-4103.43094885,-24276.4601406,21975.4685747
45199,-30888.1049701,-7444.7562444,-28172.4041183,27092.3075965
45200,2317.82712531,22682.193697,27162.4028702,3153.14462503
45201,2317.8248906,22682.1936132,27162.4027203,3153.14305087
45202,9498.89868177,16105.8730641,22473.9409329,4478.559916
45203,23974.6269273,-5086.89682211,-2889.33218057,3099.26101583
45204,9491.59981106,16067.7541618,22186.9454964,4454.73820882
45205,10021.5405219,16345.8175615,22240.3808832,4812.652765
45206,7515.66162921,4739.44109284,-4622.10158595,-1964.5555003
45207,-7721.80801426,20269.6656167,-28148.8509107,-3290.56931337
45208,-175.054742157,12378.8154807,9414.71564467,-1910.52142173
45209,-32892.8013485,5982.77847895,21205.7517421,31084.2163313
45210,-24760.3544466,619.410466356,17738.920184,34402.8987892
45211,-43196.3151862,15762.2722517,-6445.97723509,30263.9751182
45212,-27092.9022626,-13388.3040786,-26158.4986859,25899.789702
45213,-2247.2848543,26297.7359749,21282.7712332,2915.80513977
45214,-3583.35387605,12898.9384202,-33626.9441208,-3965.92880154
45215,-18660.3526872,34844.9254104,-8755.49764166,-3174.01659393
45216,-17973.6129425,32708.8617056,-6698.3041306,-3947.07912956
45217,-6206.05148244,13840.4798758,-21135.1704459,-6321.14087304
45218,-6007.94417769,12918.2811959,-21885.3679274,-6523.73506482
45219,-20766.4078754,34650.5177612,3697.84612525,-4795.19324482
45220,-46286.0297543,11866.3682948,-6830.58634263,27238.3223281
45221,-39769.6196114,5268.70415733,320.169381009,27131.0191134
45222,-53856.1216936,-2640.26319552,133.106083653,14340.6736424
45223,-1231.92422183,16159.9037862,-17749.1933782,-2151.56186565
45224,-27196.4707376,33882.3101319,1153.38013106,-10720.9603053
45225,1844.63561239,-2298.05406533,-506.840294753,-10205.4793053
45226,-15326.6779926,-25871.2455027,-5029.45152359,25015.803215
45227,4492.21303598,-13408.049056,-7183.99580088,-9511.86137877
45228,5846.98145402,-12576.5631523,-7189.76777293,-10072.7227809
45229,2037.16813066,-10642.8200522,3051.64612406,-13300.8172456
45230,-24452.7971274,17140.5304793,347.901532239,-15063.6507222
45231,-34584.974091,17323.9098003,-2909.09463629,-23116.8471638
45232,-13290.5601861,-26364.0007548,-3214.69273923,26832.5706328
45233,-2821.12511168,-26509.4882242,-23.794647225,34948.9168094
45234,-23471.3470347,-18133.3698681,10032.9171515,24552.5897721
45235,-15770.3339762,-28671.3761417,-2946.95832918,24033.4574138
45236,-11494.7283243,32089.4699637,-71.4984265712,-515.504620588
45237,-9426.13836229,22910.0784593,17643.0720231,-4593.91226905
45238,-9900.96392667,23624.5438035,6765.64472519,-3983.91792003
45239,-21013.3030568,-11111.2427749,-24889.0980302,30538.9237418
45240,-21105.4618285,-11836.0459193,-25174.3146593,30695.0727675
45241,-12157.1929086,9186.83334126,-19423.8460913,6848.82362556
45242,4418.70055259,21157.1614794,28176.1948468,4238.57616114
45243,279.378815279,19385.796566,15716.1475959,872.947703435
45244,-36372.7001734,5449.97608348,20603.4892188,28298.0827176
45245,-31953.8811729,3324.17397438,23576.0331042,29416.7409839
45246,-46987.2746315,20705.0977183,-1554.73732847,30543.3218209
45247,16053.015251,749.828112942,2284.43697031,1312.2034685
45248,6702.74538512,8897.82576784,-10503.947812,-982.263363573
45249,1419.71294017,10136.940318,-28173.4873476,-3624.06025997
45250,5153.47312467,21374.2026159,28348.5554551,4686.83722306
45251,3574.08244426,-17618.9360928,52.6086751881,-20153.6010215
45252,-41059.1667785,-18465.0641421,23093.7328606,14342.3115349
45253,-49129.6967261,-22071.798389,-30039.8355124,7364.33974766
45254,-6128.81013765,22946.3895717,13738.6290207,-1059.08837284
45255,1.82066475129,2118.19715053,-18887.3263755,-9885.209709
45256,15456.3780274,-3551.96846554,3698.45845066,-647.490521707
45257,-53.230626842,5115.4874395,-26647.818859,-6452.24986566
45258,-27094.3734345,-15348.490386,-26817.899452,25055.8083474
45259,-9012.68988478,3379.33870344,27940.4217487,-12230.2014494
45260,689.165156515,-14399.0324978,-88.4526593193,-11965.6963082
45261,689.165156515,-14399.0324978,-88.4526593193,-11965.6963082
45262,-15519.5429071,-29351.7534045,7777.93540467,-37390.3061644
45263,-15519.5430661,-29351.7536778,7777.9355523,-37390.3063094
45264,-20604.8858626,-23341.0844014,4619.07711794,-35226.736664
45265,-23251.4999957,-19252.1648505,-5756.70065084,-35907.281115
45266,23651.404887,-5983.42535701,-2658.36053268,2352.78010859
45267,24373.3441614,-5462.93713971,-2875.89570215,2936.52693648
45268,24373.3441614,-5462.93713971,-2875.89570215,2936.52693648
45269,-42844.3382919,18170.6423167,1893.31488619,31631.2423637
45270,-11999.1686009,16078.965006,-27560.148831,-7769.26314418
45271,889.104718009,9352.2707841,-28138.3021437,-3922.61517227
45272,-41682.6423471,17268.6077385,-3422.18322925,32088.3675194
45273,-6514.49035449,-22341.9700076,-7105.70052691,35040.5709492
45274,-6514.49035449,-22341.9700076,-7105.70052691,35040.5709492
45275,-40307.0030268,16664.5400649,4631.36640619,32022.8315505
45276,-41432.2179869,16987.7149667,4193.57074715,31468.161978
45277,-19465.9569486,1295.96869562,29599.7714068,37364.3625589
45278,-19465.9569486,1295.96869562,29599.7714068,37364.3625589
45279,22467.858131,-6572.10776477,-2512.5002049,1679.54349569
45280,25083.4894162,-4812.88162826,-2925.71723553,3339.64140515
45281,5594.1983122,9623.22051394,-27345.7699256,-1340.3423407
45282,5058.72945671,9314.63859033,-27249.6525641,-1465.1656009
45283,-30512.5743029,16882.059042,-1735.77035203,9993.31634089
45284,-14574.5324383,-26614.9142548,-4729.28059619,25350.8524834
45285,24887.3537472,-4889.68644874,-2940.31787647,3477.47265645
45286,24887.3537472,-4889.68644874,-2940.31787647,3477.47265645
45287,24947.8960949,-4893.94235973,-2947.74571614,3527.14133849
45288,24943.8343609,-4895.1529926,-2974.53459618,3691.91629947
45289,21568.0186495,-4059.75915109,-4048.92091016,1922.79885008
45290,24912.3249821,-4877.98273822,-3054.37899017,3737.06104201
45291,24881.4704682,-4872.92270925,-3017.25498727,3709.43831334
45292,10190.4491042,-8287.62064124,-5271.53607462,-8411.87159283
45293,-2143.76822963,-18233.3515521,-3307.80260699,-19322.4287648
45294,-58265.6097575,-15168.974017,-24679.874902,4422.82361433
45295,-59447.8792343,-149.527236081,8862.19190169,12093.929485
45296,-44121.3675833,1306.06887828,-3895.95808428,-14128.4186364
45297,-6322.22938196,19713.22057,19527.6762071,-2113.53300906
45298,2441.82085371,21468.5523779,27962.6936875,3156.11414935
45299,-23274.8696406,22572.9600656,974.507827667,7655.04607232
45300,5175.04891932,9159.83015862,-27373.8403809,-1676.22446239
45301,15150.5362177,-3971.71072723,3459.42930929,-1381.37730095
45302,-3273.23785159,1199.1775795,-5981.92757601,-11246.3164854
45303,1783.64304747,-2745.05737781,-334.225699322,-10542.1003413
45304,1783.64304747,-2745.05737781,-334.225699322,-10542.1003413
45305,8561.58906058,-5423.52879359,-2457.5636265,-8160.48372809
45306,15456.3780274,-3551.96846554,3698.45845066,-647.490521707
45307,15456.3780274,-3551.96846554,3698.45845066,-647.490521707
45308,15456.3780274,-3551.96846554,3698.45845066,-647.490521707
45309,4426.2414731,21237.0298205,28530.3202569,3903.07244945
45310,-25385.7244851,38275.1747516,-2431.0172512,-5635.76560926
45311,-8324.63946678,-30135.0647753,4076.15654505,-35428.1793359
45312,-22972.1588653,-41815.1665119,-123.040065474,14115.6749008
45313,-19378.7487838,-11374.2659201,28724.9299883,453.735720889
45314,17409.4949749,-9787.34342487,-2341.02276585,-3232.13574242
45315,17409.4949749,-9787.34342487,-2341.02276585,-3232.13574242
45316,-37341.845288,-11860.0278927,-32665.9196556,20198.1310455
45317,-37341.845288,-11860.0278927,-32665.9196556,20198.1310455
45318,22982.8616782,-7193.26678363,-2392.9507528,1062.65671774
45319,-16052.214195,3258.664618,20579.5006736,9745.80289684
45320,-6407.22558985,3099.13006198,23385.0868937,17680.3549181
45321,-8853.87200679,12390.8604194,28865.639548,-8098.65271196
45322,7527.60109987,8800.38734368,-10462.2455934,-503.454475424
45323,6531.20127118,16804.3706656,21284.4412342,2795.42933961
45324,-19659.008025,38776.5626177,-6109.66211475,-2011.8697296
45325,2914.59235666,23029.5037918,27006.730657,3520.94585626
45326,5668.51016877,17011.5255804,16760.4039508,2623.91888933
45327,17128.0825815,1415.48357788,1730.58143186,1733.95061664
45328,4056.18802138,21090.942797,25059.4193744,3245.66946808
